group,acc_drop_mean,acc_drop_std
Oil_identity,-0.011428571428571432,0.017457431218879396
Surfactant_identity,0.004761904761904763,0.020974014805281188
Cosurfactant_identity,-0.007619047619047622,0.012634761106115815
Oil+Surfactant_identity,0.1152380952380952,0.045763862006605545
Oil+Cosurfactant_identity,0.02761904761904763,0.02708850029205314
Surfactant+Cosurfactant_identity,0.09999999999999996,0.05408484138857401
Oil+Surfactant+Cosurfactant_identity,0.19142857142857142,0.06309478885734052
HLB,-0.01047619047619048,0.013768411709334252
Compatibility,0.0,0.0
Oil_V,0.0,0.0
S_Ratio,0.0,0.0
Sonication,0.0,0.0
