feature,group,Phase_Sep_MDI,Phase_Sep_perm_mean,Phase_Sep_perm_std,Phase_Sep_acc_drop_mean,Phase_Sep_acc_drop_std,Droplet_Size_percent_rmse_increase_mean,Droplet_Size_percent_rmse_increase_std,PDI_percent_rmse_increase_mean,PDI_percent_rmse_increase_std,Zeta_P_percent_rmse_increase_mean,Zeta_P_percent_rmse_increase_std
Oil_Capmul_MCM,Oil_identity,0.019801630140824138,0.013466541090474888,0.002180639739341118,0.0,0.0,4905.655454324513,354.1237540201469,26.88024571710896,6.813420355462201,1268.4578235979945,121.75725483945916
Oil_Capryol_90,Oil_identity,0.08363534358408518,0.04015985337185922,0.015884315855263557,-0.0180952380952381,0.013768411709334252,6069.12781412536,694.7538410136672,20.74698440964556,10.346502122211005,1550.6274334554048,261.2452004010975
Oil_Maisine_Oil,Oil_identity,0.014371521649030475,0.004445813004275068,0.0012395878362456245,0.0,0.0,1727.8289156751161,576.1111185363197,4.429517220479278,5.5114608002358585,226.98199332724957,80.12247870008109
Oil_Oleic_Acid,Oil_identity,0.024198465033958238,0.0047183209569766635,0.00218715942941727,0.0,0.0,4440.514637856518,378.79565220155826,4.348155604391041,6.097997673073761,727.2688353901597,77.2650000473411
Oil_Soybean_Oil,Oil_identity,0.03745814547048385,0.008677393877442112,0.004109501153578867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surfactant_Labrasol,Surfactant_identity,0.05306793082773135,0.01705317345533403,0.017259612685992312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Surfactant_PEG_400,Surfactant_identity,0.02951378599639874,0.002781489959991269,0.0007946786249680123,0.0,0.0,4263.720183659758,570.4603890053849,5.4286901702890615,6.877022180367364,665.9506016380641,107.355769985128
Surfactant_Tween_20,Surfactant_identity,0.01668497270955078,0.0009156277026581589,0.003533039926189353,0.0,0.0,6955.0204830462235,606.644719682407,24.92794911325022,7.700308281638074,2235.021411444417,215.981338620521
Surfactant_Tween_80,Surfactant_identity,0.053862367974699864,0.004113201780776193,0.015399279235213604,-0.0180952380952381,0.013768411709334252,7963.372598870133,795.6260773576745,20.531913512817553,8.736602687771327,1864.6308114691535,210.33308315659846
Cosurfactant_Ethanol,Cosurfactant_identity,0.021007476883539995,-0.013059757284760217,0.005069122769102359,0.0,0.0,279.46655525877406,50.677501564491656,18.442875610078215,7.3401047919158255,496.71683220272706,86.51288872300749
Cosurfactant_PEG_400,Cosurfactant_identity,0.007423550616039075,0.001504425514803534,0.000814619454263339,0.0,0.0,133.71794566221962,31.467865194507837,9.4093161151649,6.044951200035558,181.64882247821717,50.622736916736145
Cosurfactant_Propylene_Glycol,Cosurfactant_identity,0.023706589029504004,0.00551969018440014,0.006558545695494702,-0.003809523809523811,0.009712418121129118,244.87360723206993,33.875614146947704,14.904406691941196,8.313204113696845,171.2245052701019,40.48272029359897
Cosurfactant_Transcutol_P,Cosurfactant_identity,0.021316298564514145,0.005679831728089846,0.0016060560498366353,0.0,0.0,1990.9854439373978,223.022002437623,22.60145403422297,8.390466550202655,448.0361467210328,59.73087903684078
Cosurfactant_Tween_80,Cosurfactant_identity,0.033292147047322834,0.012081317131079695,0.007202494575191879,-0.002857142857142858,0.008571428571428574,506.05048792500554,68.02034004417555,7.226949307205363,7.43941648881349,502.25932436806073,73.27557491148977
HLB_Oil,HLB,0.09301469382274305,0.034730821068381,0.008386807493358342,0.0,0.0,410.2069053497842,36.8004466796377,27.540404752329188,8.094535214189422,58.445008868102406,19.040615383156307
HLB_Surfactant,HLB,0.0725350917644204,0.020129730116797705,0.016631618637708095,0.0,0.0,139.24017923309935,21.96249406740972,27.1862229776929,6.227565738487147,28.142975870937416,9.578591366211748
HLB_Cosurfactant,HLB,0.028263933942676202,-0.009563446550133133,0.005199647283302534,0.0,0.0,19.504031517226373,8.01252389448358,32.51441839463575,5.691819984687993,34.16999853361861,9.843068571170162
compat_oil_surf,Compatibility,0.005294821761412065,4.24595860908585e-05,0.0009708392738779225,0.0,0.0,63.64201384030544,11.948729925438503,19.886524503098578,4.1016394427066345,311.4847394259319,52.383794686396264
compat_oil_cosurf,Compatibility,0.025681388114123224,0.007379664312798097,0.0021601579351568146,0.0,0.0,1264.598356361107,109.30027560624923,22.511004524390923,7.738222029050798,489.8763924311467,67.56522279110297
compat_surf_cosurf,Compatibility,0.03114822389296397,0.0056652139689312,0.00151839822596905,0.0,0.0,2865.6271796681112,288.48739694045867,23.97894735544327,8.062373107450535,1110.99102430593,117.43966226111252
compat_surf_cosurf_missing,Compatibility,0.02113082481986809,0.007074970160605041,0.0020538267590983466,0.0,0.0,1984.1606396374902,229.89074019033103,20.52142922107595,9.507055942247883,424.7041578532313,66.48125246619296
Oil_V,Process_params,0.14907600167342844,0.059949253913651676,0.01447277755141094,0.0,0.0,81.91213827260442,14.168239507090663,34.53836320133973,5.77451065381748,136.43331660877544,32.21057285970798
S_Ratio,Process_params,0.06857931811698219,0.007897791769544775,0.00370829733570558,0.0,0.0,36.19520641197287,10.684240672042549,38.48698325344514,3.4366670916056545,339.826349364736,64.13515436202343
Sonication,Process_params,0.06593547656369982,6.70586433542795e-05,0.003934010573294316,0.0,0.0,-7.368081703328281,4.595181697701832,37.91291389517064,4.425538873550387,127.69546680179322,37.20026426852581
